Age,work_interfere,no_employees,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,is_us,self_employed_No,self_employed_Yes,family_history_No,family_history_Yes,treatment_No,treatment_Yes,remote_work_No,remote_work_Yes,tech_company_No,tech_company_Yes,obs_consequence_No,obs_consequence_Yes,Gender_female,Gender_male,Gender_others
0.4776119402985075,0.3333333333333333,0.8,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,1.0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
0.582089552238806,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0.40298507462686567,0.6666666666666666,0.8,0.5,0.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0.3880597014925373,0.3333333333333333,0.4,0.5,1.0,0.5,0.5,0.5,0.25,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0
0.3880597014925373,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0
0.417910447761194,1.0,0.8,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0
0.4477611940298507,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.25,0.0,0.0,0.5,0.0,0.5,0.5,0.0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0
0.5074626865671642,0.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0
0.5522388059701493,1.0,0.2,1.0,1.0,0.5,0.5,0.5,0.75,0.0,0.5,1.0,1.0,0.5,0.0,0.5,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0
0.26865671641791045,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0.3880597014925373,1.0,0.8,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0
0.3582089552238806,0.0,0.2,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0
0.5522388059701493,1.0,0.4,1.0,1.0,0.5,0.5,0.0,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0
0.4626865671641791,0.0,0.6000000000000001,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0
0.3283582089552239,0.0,0.8,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0.3582089552238806,0.6666666666666666,0.4,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0
0.26865671641791045,1.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0
0.40298507462686567,1.0,0.8,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
0.6119402985074627,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
